Ruta,Sección,Contexto,Texto ES,Texto EN,Notas,Estado
nav.products,nav,Navegación / header,Productos,Products,,Pendiente
nav.saber,nav,Navegación / header,El poder del saber,The power of knowing,,Pendiente
nav.quote,nav,Navegación / header,Cotizar,Get a quote,,Pendiente
nav.login,nav,Navegación / header,Login,Login,,Pendiente
nav.goHome,nav,Navegación / header,Ir al inicio,Go to home,,Pendiente
nav.home,nav,Navegación / header,Inicio,Home,,Pendiente
nav.menu,nav,Navegación / header,Menú,Menu,,Pendiente
nav.skipToContent,nav,Navegación / header,Saltar al contenido,Skip to content,,Pendiente
nav.productItems.[0].name,nav,Navegación / header,PigVision,PigVision,,Pendiente
nav.productItems.[0].desc,nav,Navegación / header,Cámara para pesar cerdos en ceba,Camera to weigh finishing pigs,,Pendiente
nav.productItems.[0].href,nav,Navegación / header,/pigvision,/pigvision,,Pendiente
nav.productItems.[0].img,nav,Navegación / header,/images/home_render_pigvision-768x536.webp,/images/home_render_pigvision-768x536.webp,,Pendiente
nav.productItems.[1].name,nav,Navegación / header,Insylo,Insylo,,Pendiente
nav.productItems.[1].desc,nav,Navegación / header,Control del alimento y consumo,Feed and consumption control,,Pendiente
nav.productItems.[1].href,nav,Navegación / header,/insylo,/insylo,,Pendiente
nav.productItems.[1].img,nav,Navegación / header,/images/home_render_insylo-1-768x1131.webp,/images/home_render_insylo-1-768x1131.webp,,Pendiente
nav.productItems.[2].name,nav,Navegación / header,Sensores Ambientales,Environmental Sensors,,Pendiente
nav.productItems.[2].desc,nav,Navegación / header,Ambiente bajo control,Environment under control,,Pendiente
nav.productItems.[2].href,nav,Navegación / header,/nodos,/nodos,,Pendiente
nav.productItems.[2].img,nav,Navegación / header,/images/home_render_nodos-768x536.webp,/images/home_render_nodos-768x536.webp,,Pendiente
hero.title1,hero,Home · Hero,Nunca más,Never again,,Pendiente
hero.title2,hero,Home · Hero,decidas sin datos,decide without data,,Pendiente
hero.subtitle,hero,Home · Hero,Monitoreo inteligente para granjas porcinas y avícolas,Intelligent monitoring for swine and poultry farms,,Pendiente
